Grandes Regiões / Unidades da Federação;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023(2)
Rio de Janeiro;250,7;222,3;196,2;227,7;276,4;286,5;302,6;418,3;491,8;522,8;685,2;800,9;844,3;960;1.305,10;1.477,20;1.252,00;1.323,70;1.444,40;1.381,40;1.334,70;1.691,90;2.322,50;2.206,60
São Paulo;2.044,50;2.388,20;2.592,10;2.730,50;2.675,50;2.552,10;2.601,00;3.534,10;4.302,40;4.835,40;5.609,40;6.908,00;7.792,30;8.786,70;9.721,60;11.898,40;11.676,30;11.865,60;13.324,20;9.945,20;9.782,40;12.102,20;14.489,30;11.825,20
Sul;274,2;308,4;355;351,3;425,1;491,7;501,9;586,6;780,6;1.000,50;1.182,30;1.305,80;1.545,60;1.675,30;2.036,60;2.058,60;2.277,80;2.364,50;2.332,30;2.130,10;2.416,20;2.601,40;3.163,80;3.815,00
Paraná;182,9;200,9;256;238,2;314;323,5;365,1;427,9;425,3;572,2;600,1;617,8;759,5;771,5;932,4;1.007,90;1.296,10;1.300,80;1.290,50;1.228,20;1.490,70;1.584,70;1.867,00;2.323,50
Rio Grande do Sul;85,6;100,3;53,3;61;70,6;85,2;68,1;75,3;77,3;125,9;254,2;291,7;361,9;421,1;511;413,1;419,8;474,7;429,1;294,2;322,8;347,8;516;586,7
Santa Catarina;5,6;7,1;45,7;52,1;40,5;82,9;68,7;83,3;278;302,4;328;396,3;424,2;482,7;593,2;637,6;561,9;588,9;612,7;607,8;602,6;668,9;780,9;904,8
Centro-Oeste;37,2;32,1;11,8;21,8;56,7;66,5;71,7;143,7;153,8;269,3;356,2;405,5;536,6;620,1;907,3;891,1;1.038,60;1.093,40;1.254,70;1.279,70;1.256,40;1.457,70;1.675,30;1.717,70
Distrito Federal;2,8;2,9;1,8;3,3;11,6;13,3;13,6;68,5;45,9;133,1;166,3;132,3;152;170,6;378,7;346,1;363,1;364,9;320,7;364,2;374,1;415,6;395;348,8
Goiás;32,1;26,3;4,9;5,1;8,8;10,5;10,8;26,6;31,1;39,6;44,5;101,3;149,5;174,5;151,6;153,6;279,6;309;408;388,1;371,4;415,3;334,8;462,8
Mato Grosso;1,2;1,3;1,9;4,9;28,4;32,8;35,8;36,2;59,2;80,5;106;131,6;127,2;154,7;194,9;238,3;262,4;267,8;304,6;313,8;281,9;358,1;520;475,6
Mato Grosso do Sul;1,1;1,6;3,2;8,5;7,9;9,9;11,4;12,5;17,6;16,1;39,5;40,2;107,9;120,3;182,1;153;133,5;151,8;221,5;213,7;229;268,6;425,5;430,4
